127.0.0.1 - - [22/Dec/2022:15:43:42 +0900] "GET / HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:43 +0900] "GET /index.jsp HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:43 +0900] "GET /css/styles.css?v=1 HTTP/1.1" 200 213535
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:43 +0900] "GET /js/scripts.js HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:43 +0900] "GET /assets/img/bg-masthead.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:48 +0900] "GET /member/join&login.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:48 +0900] "GET /js/join&login.js HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:48 +0900] "GET /css/join&login.css HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:56 +0900] "GET /brd/list HTTP/1.1" 200 10429
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:56 +0900] "GET /js/bscripts.js HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:56 +0900] "GET /css/bstyles.css HTTP/1.1" 200 207174
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:56 +0900] "GET /_fileUpLoad/th_1670984520034_html.png HTTP/1.1" 200 2052
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:56 +0900] "GET /_fileUpLoad/th_1670984482258_css.png HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:56 +0900] "GET /_fileUpLoad/th_1670984436621_java.png HTTP/1.1" 200 2477
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:56 +0900] "GET /_fileUpLoad/th_1670939457342_%EC%9A%B0%EC%A3%BC.jpg HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:56 +0900] "GET /_fileUpLoad/th_1670984462761_mysql.png HTTP/1.1" 200 2419
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:58 +0900] "GET /brd/detail?bno=196 HTTP/1.1" 200 9117
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:58 +0900] "GET /_fileUpLoad/1670984436621_java.png HTTP/1.1" 200 118587
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:58 +0900] "GET /js/board_comment.js HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:43:58 +0900] "GET /CMT/list/196 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:08 +0900] "GET /brd/page?pageNo=2&qty=10 HTTP/1.1" 200 7131
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:08 +0900] "GET /_fileUpLoad/th_1670939452982_%EC%9A%B0%EC%A3%BC.jpg HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:11 +0900] "GET /brd/detail?bno=196 HTTP/1.1" 200 9117
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:11 +0900] "GET /CMT/list/196 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:15 +0900] "GET /brd/detail?bno=197 HTTP/1.1" 200 9114
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:15 +0900] "GET /_fileUpLoad/1670984462761_mysql.png HTTP/1.1" 200 65212
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:15 +0900] "GET /CMT/list/197 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:15 +0900] "GET /_fileUpLoad/th_1670939359291_%EC%BF%A0%ED%8C%A1.jpg HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:42 +0900] "POST /member/signin HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:47 +0900] "GET / HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:47 +0900] "GET /assets/img/bg-masthead.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [22/Dec/2022:15:44:48 +0900] "GET /member/join&login.jsp HTTP/1.1" 200 2779
